0,Date,Visitor,G,Home,G,
1,2023-10-10,Chicago Blackhawks,4,Pittsburgh Penguins,2,
2,2023-10-10,Nashville Predators,3,Tampa Bay Lightning,5,
3,2023-10-10,Seattle Kraken,1,Vegas Golden Knights,4,
4,2023-10-11,Chicago Blackhawks,1,Boston Bruins,3,
5,2023-10-11,Ottawa Senators,3,Carolina Hurricanes,5,
6,2023-10-11,Winnipeg Jets,3,Calgary Flames,5,
7,2023-10-11,Colorado Avalanche,5,Los Angeles Kings,2,
8,2023-10-11,Montreal Canadiens,5,Toronto Maple Leafs,6,SO
9,2023-10-11,Edmonton Oilers,1,Vancouver Canucks,8,
10,2023-10-12,New York Rangers,5,Buffalo Sabres,1,
11,2023-10-12,Philadelphia Flyers,4,Columbus Blue Jackets,2,
12,2023-10-12,St. Louis Blues,1,Dallas Stars,2,SO
13,2023-10-12,Florida Panthers,0,Minnesota Wild,2,
14,2023-10-12,Detroit Red Wings,3,New Jersey Devils,4,
15,2023-10-12,Seattle Kraken,0,Nashville Predators,3,
16,2023-10-12,Vegas Golden Knights,4,San Jose Sharks,1,
17,2023-10-13,Arizona Coyotes,4,New Jersey Devils,3,SO
18,2023-10-13,Pittsburgh Penguins,4,Washington Capitals,0,
