GameId,Period,Min,Sec,Team,Situation
1,1,07,04,PIT,
1,2,11,56,PIT,
1,2,15,37,CHI,
1,3,10,05,CHI,
1,3,15,29,CHI,
1,3,18,33,CHI,EN
2,1,09,48,TBL,
2,2,16,15,NSH,
2,3,00,11,NSH,
2,3,02,25,TBL,PP
2,3,03,07,TBL,PS
2,3,08,48,NSH,PP
2,3,10,52,TBL,PP
2,3,19,58,TBL,EN
3,1,07,16,VEG,
3,1,14,57,VEG,
3,2,01,20,VEG,
3,2,08,19,SEA,
3,3,18,45,VEG,EN
4,1,05,37,CHI,
4,1,11,22,BOS,
4,2,13,09,BOS,
4,3,19,04,BOS,EN
5,1,03,14,OTT,
5,2,02,55,CAR,PP
5,2,17,57,CAR,
5,3,00,20,CAR,
5,3,05,14,OTT,SH
5,3,05,49,OTT,
5,3,07,51,CAR,
5,3,11,05,CAR,SH
6,1,12,29,CGY,PP
6,1,14,48,WPG,
6,1,17,50,CGY,
6,2,11,19,WPG,
6,2,13,49,CGY,SH
6,3,14,18,WPG,
6,3,18,28,CGY,
6,3,19,53,CGY,EN
7,1,07,25,COL,
7,2,02,54,COL,PP
7,2,03,47,COL,
7,2,06,18,LAK,
7,2,19,55,LAK,
7,3,04,59,COL,
7,3,16,08,COL,EN
8,1,03,01,MTL,
8,2,01,10,MTL,
8,2,07,46,TOR,
8,2,14,51,TOR,PP
8,2,19,15,TOR,PP
8,3,04,25,MTL,PP
8,3,05,47,MTL,
8,3,11,55,MTL,
8,3,15,28,TOR,
8,3,18,53,TOR,
9,1,08,06,VAN,
9,1,11,27,VAN,
9,2,04,03,VAN,
9,2,07,30,VAN,PP
9,2,08,20,EDM,PP
9,2,11,08,VAN,PP
9,3,05,43,VAN,
9,3,06,56,VAN,PP
9,3,14,48,VAN,
10,1,03,47,NYR,
10,1,12,22,NYR,PP
10,2,12,49,NYR,
10,2,18,30,BUF,
10,3,11,34,NYR,SH
10,3,18,31,NYR,EN
11,1,03,33,PHI,
11,1,08,24,CBJ,
11,1,12,43,PHI,
11,3,18,31,PHI,EN
11,3,19,16,CBJ,
11,3,19,59,PHI,EN
12,2,00,18,DAL,
12,2,02,37,STL,
13,1,07,54,MIN,
13,2,12,56,MIN,PP
14,2,12,14,DET,
14,2,13,39,NJD,PP
14,2,18,43,NJD,
14,3,10,43,DET,PP
14,3,15,37,NJD,
14,3,18,29,NJD,EN
14,3,19,26,DET,PP
15,2,10,24,NSH,SH
15,3,10,03,NSH,
15,3,18,19,NSH,EN
16,1,15,25,VEG,
16,1,17,48,SJS,
16,2,18,31,VEG,
16,2,19,24,VEG,
16,3,02,11,VEG,
17,1,06,22,ARI,
17,2,04,23,ARI,PP
17,2,08,09,NJD,
17,2,12,29,NJD,PP
17,2,18,53,NJD,PP
17,3,13,55,ARI,PP
18,2,04,07,PIT,
18,2,05,51,PIT,PP
18,2,11,46,PIT,PP
18,3,16,57,PIT,
